CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END
1,25,85.0,8,0.7,0.0,576.0
2,22,75.0,8,30.0,0.0,576.0
3,22,85.0,8,2.3,0.0,576.0
5,20,85.0,8,1.9,0.0,576.0
7,15,75.0,8,2.1,0.0,576.0
8,15,80.0,8,1.8,0.0,576.0
10,10,40.0,8,2.5,384.0,720.0
11,8,40.0,8,2.5,0.0,576.0
12,8,45.0,8,3.1,0.0,576.0
14,5,45.0,8,1.0,0.0,576.0
17,0,45.0,8,20.0,624.0,960.0
19,42,10.0,8,40.0,0.0,576.0
20,42,15.0,8,0.5,0.0,576.0
21,40,5.0,8,0.30000000000000004,0.0,576.0
22,40,15.0,8,2.8,0.0,576.0
25,35,5.0,8,2.4000000000000004,624.0,960.0
27,95,35.0,8,0.7,0.0,576.0
28,92,30.0,8,1.1,0.0,576.0
29,90,35.0,8,2.5,0.0,576.0
31,88,35.0,8,0.9,0.0,576.0
32,87,30.0,8,0.9,0.0,576.0
33,85,25.0,8,0.8,0.0,576.0
37,65,82.0,8,0.4,0.0,576.0
38,62,80.0,8,4.2,0.0,576.0
39,60,80.0,8,0.4,0.0,576.0
40,60,85.0,8,2.0,0.0,576.0
42,55,80.0,8,3.0,0.0,576.0
43,55,85.0,8,1.4,0.0,576.0
44,55,82.0,8,1.5,0.0,576.0
45,20,82.0,8,1.1,0.0,576.0
47,2,45.0,8,0.8,0.0,576.0
48,42,5.0,8,1.2,0.0,576.0
49,42,12.0,8,0.6,0.0,576.0
50,72,35.0,8,1.1,0.0,576.0
51,40,50.0,0,0.0,0.0,0.0
capacity,1000,,0,0.0,,
