CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END
1,41,49.0,16,9.6,0.0,138.0
2,35,17.0,8,7.0,0.0,138.0
3,55,45.0,24,11.7,0.0,138.0
4,55,20.0,24,17.9,92.0,172.5
5,15,30.0,8,19.6,0.0,138.0
7,20,50.0,16,5.0,0.0,138.0
8,10,43.0,24,8.600000000000001,0.0,138.0
9,55,60.0,8,16.0,0.0,138.0
10,30,60.0,24,15.0,0.0,138.0
11,20,65.0,16,10.7,0.0,138.0
12,50,35.0,16,16.7,0.0,138.0
13,30,25.0,8,19.3,92.0,172.5
14,15,10.0,16,20.0,0.0,138.0
15,30,5.0,16,7.2,0.0,138.0
16,10,20.0,16,19.0,0.0,138.0
17,5,30.0,24,1.8,92.0,172.5
18,20,40.0,16,10.700000000000001,0.0,138.0
19,15,60.0,24,15.9,0.0,138.0
20,45,65.0,8,9.0,0.0,138.0
21,45,20.0,8,11.0,0.0,138.0
22,45,10.0,8,18.0,0.0,138.0
23,55,5.0,24,26.9,0.0,138.0
24,65,35.0,16,2.8,92.0,172.5
25,65,20.0,16,5.6,149.5,230.0
26,45,30.0,16,15.4,0.0,138.0
27,35,40.0,8,16.0,0.0,138.0
28,41,37.0,24,14.899999999999999,0.0,138.0
29,64,42.0,24,9.0,0.0,138.0
30,40,60.0,24,19.9,0.0,138.0
31,31,52.0,16,27.0,0.0,138.0
32,35,69.0,8,23.0,92.0,172.5
34,65,55.0,16,14.0,0.0,138.0
35,63,65.0,24,7.8,92.0,172.5
36,2,60.0,24,5.1000000000000005,0.0,138.0
37,20,20.0,24,7.3,0.0,138.0
38,5,5.0,16,14.299999999999999,0.0,138.0
39,60,12.0,16,31.0,0.0,138.0
40,40,25.0,8,9.0,0.0,138.0
41,42,7.0,24,4.699999999999999,0.0,138.0
42,24,12.0,24,4.6,0.0,138.0
43,23,3.0,16,6.2,92.0,172.5
44,11,14.0,16,15.8,0.0,138.0
45,6,38.0,24,15.0,0.0,138.0
46,2,48.0,8,0.6,0.0,138.0
47,8,56.0,16,26.999999999999996,0.0,138.0
48,13,52.0,24,36.0,0.0,138.0
49,6,68.0,8,30.0,0.0,138.0
50,47,47.0,16,10.399999999999999,0.0,138.0
51,35,35.0,0,0.0,0.0,0.0
capacity,200,,0,0.0,,
