CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END
1,41,49.0,8,10.0,92.0,172.5
3,55,45.0,8,0.6000000000000001,92.0,172.5
4,55,20.0,8,0.8999999999999999,92.0,172.5
6,25,30.0,8,0.5,0.0,138.0
9,55,60.0,8,1.8,0.0,138.0
10,30,60.0,8,0.8999999999999999,92.0,172.5
12,50,35.0,8,1.5,0.0,138.0
13,30,25.0,8,3.2,92.0,172.5
14,15,10.0,8,20.0,0.0,138.0
15,30,5.0,8,0.30000000000000004,0.0,138.0
18,20,40.0,8,0.8,0.0,138.0
19,15,60.0,8,2.1999999999999997,0.0,138.0
20,45,65.0,8,1.6,92.0,172.5
21,45,20.0,8,0.7,0.0,138.0
24,65,35.0,8,3.0,92.0,172.5
25,65,20.0,8,0.6000000000000001,0.0,138.0
26,45,30.0,8,1.4,92.0,172.5
30,40,60.0,8,4.4,0.0,138.0
34,65,55.0,8,0.6,92.0,172.5
37,20,20.0,8,0.8,92.0,172.5
38,5,5.0,8,1.2,0.0,138.0
40,40,25.0,8,0.4,0.0,138.0
43,23,3.0,8,0.5,92.0,172.5
45,6,38.0,8,16.0,0.0,138.0
46,2,48.0,8,0.1,92.0,172.5
47,8,56.0,8,27.0,0.0,138.0
51,35,35.0,0,0.0,0.0,0.0
capacity,200,,0,0.0,,
