CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END
2,45,70.0,8,30.0,0.0,741.6
3,42,66.0,8,10.0,0.0,741.6
4,42,68.0,8,1.7000000000000002,494.4,927.0
5,42,65.0,8,0.7999999999999999,0.0,741.6
6,40,69.0,8,1.5,0.0,741.6
11,35,69.0,8,10.0,0.0,741.6
16,20,85.0,8,5.3,0.0,741.6
17,18,75.0,8,1.2999999999999998,0.0,741.6
18,15,75.0,8,1.5,0.0,741.6
20,30,50.0,8,0.7,0.0,741.6
22,28,52.0,8,20.0,0.0,741.6
23,28,55.0,8,2.5999999999999996,494.4,927.0
26,25,55.0,8,1.0,0.0,741.6
27,23,52.0,8,0.7,0.0,741.6
29,20,50.0,8,1.2999999999999998,0.0,741.6
30,20,55.0,8,0.4,0.0,741.6
31,10,35.0,8,2.8,0.0,741.6
32,10,40.0,8,1.4,0.0,741.6
33,8,40.0,8,6.1,0.0,741.6
34,8,45.0,8,20.0,0.0,741.6
35,5,35.0,8,10.0,0.0,741.6
36,5,45.0,8,0.8999999999999999,0.0,741.6
37,2,40.0,8,20.0,0.0,741.6
40,35,30.0,8,0.6,0.0,741.6
42,33,32.0,8,1.5,0.0,741.6
43,33,35.0,8,0.7,0.0,741.6
46,30,32.0,8,2.5,0.0,741.6
47,30,35.0,8,1.0,0.0,741.6
48,28,30.0,8,1.0,0.0,741.6
50,26,32.0,8,10.0,0.0,741.6
51,40,50.0,0,0.0,0.0,0.0
capacity,200,,0,0.0,,
