CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END
1,25,85.0,8,1.7000000000000002,0.0,576.0
2,22,75.0,8,4.4,0.0,576.0
4,20,80.0,8,2.1,624.0,960.0
5,20,85.0,8,1.5999999999999999,0.0,576.0
6,18,75.0,8,1.6,0.0,576.0
7,15,75.0,8,4.300000000000001,0.0,576.0
11,8,40.0,8,4.7,0.0,576.0
13,5,35.0,8,0.6,624.0,960.0
15,2,40.0,8,1.1,0.0,576.0
16,0,40.0,8,2.3,0.0,576.0
17,0,45.0,8,1.8,624.0,960.0
18,44,5.0,8,0.9,0.0,576.0
20,42,15.0,8,0.8,384.0,720.0
21,40,5.0,8,1.6,0.0,576.0
23,38,5.0,8,4.2,0.0,576.0
24,38,15.0,8,10.0,624.0,960.0
25,35,5.0,8,1.0,624.0,960.0
26,95,30.0,8,3.9,0.0,576.0
27,95,35.0,8,1.5,0.0,576.0
28,92,30.0,8,1.7,0.0,576.0
30,88,30.0,8,0.30000000000000004,0.0,576.0
32,87,30.0,8,0.7,624.0,960.0
34,85,35.0,8,1.8,0.0,576.0
36,65,85.0,8,2.6,0.0,576.0
38,62,80.0,8,2.3,0.0,576.0
41,58,75.0,8,20.0,0.0,576.0
42,55,80.0,8,1.2000000000000002,0.0,576.0
47,2,45.0,8,1.0,0.0,576.0
50,72,35.0,8,2.1,0.0,576.0
51,40,50.0,0,0.0,0.0,0.0
capacity,1000,,0,0.0,,
