CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END
1,25,85.0,8,1.6,0.0,144.0
2,22,75.0,8,0.8,0.0,144.0
3,22,85.0,8,0.6,0.0,144.0
5,20,85.0,8,2.3,0.0,144.0
6,18,75.0,8,1.9,0.0,144.0
7,15,75.0,8,1.8,0.0,144.0
8,15,80.0,8,1.1,0.0,144.0
9,10,35.0,8,1.0,0.0,144.0
13,5,35.0,8,0.7,96.0,180.0
14,5,45.0,8,1.1,0.0,144.0
15,2,40.0,8,1.7999999999999998,0.0,144.0
16,0,40.0,8,2.1,0.0,144.0
17,0,45.0,8,20.0,0.0,144.0
18,44,5.0,8,1.7,0.0,144.0
19,42,10.0,8,6.6,0.0,144.0
23,38,5.0,8,3.1,0.0,144.0
24,38,15.0,8,1.0,0.0,144.0
25,35,5.0,8,2.4000000000000004,156.0,240.0
26,95,30.0,8,30.0,0.0,144.0
28,92,30.0,8,1.2,0.0,144.0
29,90,35.0,8,10.0,0.0,144.0
30,88,30.0,8,0.8,0.0,144.0
31,88,35.0,8,1.2999999999999998,0.0,144.0
33,85,25.0,8,0.30000000000000004,0.0,144.0
36,65,85.0,8,2.8,0.0,144.0
38,62,80.0,8,3.0999999999999996,0.0,144.0
39,60,80.0,8,1.2999999999999998,0.0,144.0
46,18,80.0,8,10.0,0.0,144.0
47,2,45.0,8,0.8999999999999999,0.0,144.0
48,42,5.0,8,0.5,0.0,144.0
49,42,12.0,8,0.8,0.0,144.0
50,72,35.0,8,1.7,0.0,144.0
51,40,50.0,0,0.0,0.0,0.0
capacity,200,,0,0.0,,
