CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END
1,52,75.0,8,0.8,0.0,2034.0
2,45,70.0,8,2.1,0.0,2034.0
3,62,69.0,8,0.6,0.0,2034.0
4,60,66.0,8,0.8,0.0,2034.0
6,16,42.0,8,1.2,0.0,2034.0
8,34,60.0,8,1.4000000000000001,2203.5,3390.0
9,28,70.0,8,1.6,2203.5,3390.0
10,35,66.0,8,0.5,2203.5,3390.0
11,35,69.0,8,0.8999999999999999,2203.5,3390.0
12,25,85.0,8,2.8,1356.0,2542.5
13,22,75.0,8,2.1,2203.5,3390.0
16,20,85.0,8,6.199999999999999,1356.0,2542.5
17,18,75.0,8,3.0,2203.5,3390.0
21,30,56.0,8,6.4,2203.5,3390.0
22,28,52.0,8,3.2,0.0,2034.0
24,25,50.0,8,1.6,0.0,2034.0
26,8,62.0,8,1.0,0.0,2034.0
27,23,52.0,8,0.7,0.0,2034.0
28,4,55.0,8,2.0,0.0,2034.0
30,20,55.0,8,1.9,0.0,2034.0
31,10,35.0,8,1.3,0.0,2034.0
33,8,40.0,8,1.4,0.0,2034.0
34,8,45.0,8,1.4,0.0,2034.0
35,5,35.0,8,0.8999999999999999,0.0,2034.0
38,0,40.0,8,30.0,0.0,2034.0
39,0,45.0,8,2.2,0.0,2034.0
40,36,18.0,8,0.30000000000000004,1356.0,2542.5
41,35,32.0,8,2.5,2203.5,3390.0
42,33,32.0,8,7.4,2203.5,3390.0
48,36,40.0,8,0.7,2203.5,3390.0
50,26,32.0,8,0.8,1356.0,2542.5
51,40,50.0,0,0.0,0.0,0.0
capacity,700,,0,0.0,,
